SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,17-00864140,02/16/2017,Front,,Open,"KEEP STEALING FRONT DOOR, LEAVING DOOR WIDE OPEN",Vacant,false,true,5155,S,EMERALD,AVE,60609,1172179.08200902,1870680.26280452,20,9,61,41.80059368279882,-87.64409115318163,"(41.800593682799, -87.644091153182)"
Vacant/Abandoned Building,17-04881488,07/24/2017,Front,,Boarded,FRONT WINDOW,Vacant,false,false,8755,S,COTTAGE GROVE,AVE,,1183095.50560848,1847021.44519296,8,6,44,41.73542441243862,-87.60479241625825,"(41.735424412439, -87.604792416258)"
Vacant/Abandoned Building,17-01452115,03/17/2017,Front,,Open,,Vacant,false,true,2169,W,PERSHING,RD,60609,1162491.90886576,1878790.20778594,12,9,61,41.8230560024819,-87.67939088010093,"(41.823056002482, -87.679390880101)"
Vacant/Abandoned Building,17-03853232,06/10/2017,Front,,Open,,Vacant,false,true,7450,N,SACRAMENTO,AVE,60645,1155170.40849107,1949320.75730198,50,24,2,42.01674735614551,-87.70435296435639,"(42.016747356146, -87.704352964356)"
Vacant/Abandoned Building,17-02417790,04/22/2017,Garage,,Open,FRONT,Vacant,false,true,7110,S,PARNELL,AVE,60621,1173853.96382883,1857764.36280568,6,7,68,41.76511401395988,-87.63833170183854,"(41.76511401396, -87.638331701839)"
Vacant/Abandoned Building,17-03208620,05/19/2017,Front,,Boarded,,Vacant,false,true,5333,W,FERDINAND,ST,60644,1140716.63493005,1902633.78601206,37,15,25,41.88891312006651,-87.75869148869258,"(41.888913120067, -87.758691488693)"
Vacant/Abandoned Building,17-02807092,05/06/2017,Front,,Open,FRONT DOOR AND WINDOWS,Vacant,false,true,8037,S,MARSHFIELD,AVE,60620,1166740.14553135,1851412.07467406,21,6,71,41.747837232722375,-87.66458695721109,"(41.747837232722, -87.664586957211)"
Vacant/Abandoned Building,17-01187056,03/03/2017,Front,,Open,,Vacant,false,true,6500,S,PEORIA,ST,60621,1171424.12851967,1861739.05397385,6,7,68,41.776074578128004,-87.64712151406613,"(41.776074578128, -87.647121514066)"
Vacant/Abandoned Building,17-02090603,04/10/2017,Front,,Open,,Vacant,false,false,11321,S,YALE,AVE,60628,1176628.92987225,1829895.7932704,34,5,49,41.6885770226101,-87.62899647654987,"(41.68857702261, -87.62899647655)"
Vacant/Abandoned Building,17-01906966,04/03/2017,Front,,Open,BACK DOOR,Vacant,false,true,4559,S,MICHIGAN,AVE,60653,1177921.34778833,1874851.47249747,3,2,38,41.811911575720075,-87.62290611131313,"(41.81191157572, -87.622906111313)"
Vacant/Abandoned Building,17-02725814,05/03/2017,Front,,Open,,Vacant,false,false,10214,S,EBERHART,AVE,60628,1181380.77759824,1837347.11028686,9,5,49,41.70891650594745,-87.61137168267777,"(41.708916505947, -87.611371682678)"
Vacant/Abandoned Building,17-04410380,07/04/2017,Front,,Open,"FRONT/REAR DOORS, WINDOWS",Vacant,false,true,7340,S,GREEN,ST,60621,1171907.52522811,1856179.67630105,17,7,68,41.7608083737379,-87.64551240396545,"(41.760808373738, -87.645512403965)"
Vacant/Abandoned Building,17-02042724,04/08/2017,Front,,Open,,Vacant,false,true,4456,N,HAMLIN,AVE,60625,1150253.97752047,1929421.84988135,35,17,14,41.96224132501767,-87.72296609165974,"(41.962241325018, -87.72296609166)"
Vacant/Abandoned Building,17-00085782,01/05/2017,,,,,,,,217,E,134TH,ST,60827,1180127.44907944,1816530.57997074,9,5,54,41.65182164740096,-87.61659562432567,"(41.651821647401, -87.616595624326)"
Vacant/Abandoned Building,17-05016527,07/29/2017,Front,,Boarded,,Vacant,false,false,2557,W,LITHUANIAN PLAZA,CT,60629,1160439.6450213,1858809.38002816,17,8,66,41.76826860155201,-87.68747058781454,"(41.768268601552, -87.687470587815)"
Vacant/Abandoned Building,17-02736679,05/03/2017,Rear,,Open,REAR,Vacant,false,false,1755,E,93RD,ST,60617,1189609.00009697,1843657.84646799,8,4,48,41.72604058053211,-87.58103757729948,"(41.726040580532, -87.581037577299)"
Vacant/Abandoned Building,17-04451636,07/06/2017,Front,,Open,ALL AROUND,Vacant,false,false,7935,S,COLES,AVE,60617,1198202.99546725,1852829.11991775,7,4,46,41.75099684274392,-87.54925172660792,"(41.750996842744, -87.549251726608)"
Vacant/Abandoned Building,17-02966218,05/11/2017,Rear,,Boarded,REAR,Vacant,false,false,8617,S,ASHLAND,AVE,60620,1167174.95683011,1847575.49609833,21,6,71,41.737299825648506,-87.66310316396509,"(41.737299825649, -87.663103163965)"
Vacant/Abandoned Building,17-01601986,03/23/2017,Front,,Boarded,,Vacant,false,true,10822,S,TORRENCE,AVE,60617,1195564.98191767,1833800.79000052,10,4,51,41.6988469707002,-87.55954527939356,"(41.6988469707, -87.559545279394)"
Vacant/Abandoned Building,17-01404622,03/14/2017,Front,,Open,ALL DOORS,Vacant,false,true,11548,S,PERRY,AVE,60628,1177652.99012012,1828216.42770906,34,5,53,41.6839455558197,-87.62529799641466,"(41.68394555582, -87.625297996415)"
Vacant/Abandoned Building,17-00826101,02/14/2017,Garage,,Boarded,,Vacant,false,false,11543,S,LOOMIS,ST,60643,1169070.14587229,1828202.23552586,34,5,53,41.68409588188942,-87.65671746123569,"(41.684095881889, -87.656717461236)"
Vacant/Abandoned Building,17-00816656,02/14/2017,Rear,,Boarded,NONE,Vacant,false,false,6439,S,EBERHART,AVE,60637,1180684.731311,1862425.33301067,20,3,42,41.777750003720094,-87.61315204269407,"(41.77775000372, -87.613152042694)"
Vacant/Abandoned Building,17-01384741,03/13/2017,Front,,Open,FRONT AND BACK,Vacant,false,false,7318,S,MARYLAND,AVE,,1183167.52819449,1856675.77310131,8,3,69,41.76191524096334,-87.6042288454968,"(41.761915240963, -87.604228845497)"
Vacant/Abandoned Building,17-03908011,06/13/2017,Front,,Boarded,,Vacant,false,true,8253,S,ADA,ST,60620,1168764.95412348,1850032.09500657,21,6,71,41.74400695310185,-87.65720714975234,"(41.744006953102, -87.657207149752)"
Vacant/Abandoned Building,17-02638452,04/30/2017,Front,,Open,NONE,Vacant,false,false,4425,N,SAWYER,AVE,60625,1153921.68756666,1929227.48871205,33,17,14,41.96163550216705,-87.70948653754469,"(41.961635502167, -87.709486537545)"
Vacant/Abandoned Building,17-03087984,05/15/2017,Front,,Open,,Vacant,false,false,3112,W,JACKSON,BLVD,60612,1155624.57459478,1898521.65942202,28,11,27,41.87734203187221,-87.70405413587459,"(41.877342031872, -87.704054135875)"
Vacant/Abandoned Building,17-00337148,01/19/2017,Front,,Open,FRONT,Vacant,true,false,7801,S,UNION,AVE,60620,1172986.71356718,1853145.70597247,6,6,71,41.75245903397721,-87.64164653602171,"(41.752459033977, -87.641646536022)"
Vacant/Abandoned Building,17-03757613,06/07/2017,Front,,Open,,Vacant,false,false,4309,W,HARRISON,ST,60624,1147801.98013023,1897007.49748173,24,11,26,41.87334078857722,-87.7328156652467,"(41.873340788577, -87.732815665247)"
Vacant/Abandoned Building,17-01265000,03/07/2017,,,,,,,,7544,S,EGGLESTON,AVE,60620,1174600.21168475,1854903.75869448,6,6,69,41.75724759729371,-87.63568152715143,"(41.757247597294, -87.635681527151)"
Vacant/Abandoned Building,17-04845903,07/22/2017,Front,,Open,WINDOWS AND REAR DOORS,Vacant,false,true,1633,S,AVERS,AVE,60623,1150998.44431006,1891548.61802727,24,10,29,41.85829902511675,-87.72122267902697,"(41.858299025117, -87.721222679027)"
